id,datetime,username,tweets,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
652697795216863232,2015-10-10 04:10:55+00:00,svcs2021,"""Good Morning to all the well wishers of Vizag, who are wishing Vizag to become a smart city! 

Katiki waterfalls... http://t.co/mUHt4R2M5k""",0.8356,Positive,0,2,0,0,1,0,1,1
561070669539311616,2015-01-30 07:57:26+00:00,Mike1H08,"""Waterfalls at the bar in Sun City, South Africa http://t.co/ovaTLSJH4m""",0.0,Neutral,0,1,0,0,1,0,1,1
554507315039064065,2015-01-12 05:17:00+00:00,AMG133,"""Of course I'll be the idiot that buys ""maximum hydration"" lotion in the most humid city in South Africa.  My face is like a waterfall.""",-0.2023,Negative,0,0,1,0,0,0,0,0
551979106372694016,2015-01-05 05:50:48+00:00,novelcultureEC,"""CSSD Assistant Opportunity at Netcare

Waterfall City ,N/A, South Africa

Closing Date:   05 January 2015... http://t.co/DgmTvRwJ4J""",0.4215,Positive,0,0,0,0,0,0,0,1
481055992130441218,2014-06-23 12:47:40+00:00,poandpo,"""Director Francois van Niekerk to retire from Attacq: June 23, 2014, Waterfall City, South Africa - Attacq Limi... http://t.co/n6vC2UnJqL""",0.0,Neutral,0,0,0,0,0,0,0,1
458642563323658240,2014-04-22 16:24:42+00:00,Urban_WilsonCtr,"""Re-urbanism (i.e. Waterfall City, South Africa) #developer promoted tabula-rasa approach is changing the face of #African #cities #CGScities""",0.4215,Positive,0,1,0,0,0,0,0,0
458642529974771712,2014-04-22 16:24:34+00:00,cgs_mason,"""#CGSCities Murray: Waterfall City, planned city in South Africa, owned by 1 family. Completely privatized, not even a public police force.""",0.0,Neutral,0,2,0,0,0,0,0,0
446716568299646976,2014-03-20 18:35:04+00:00,syskool,"""What country has the highest waterfall?

(a) Bolivia 
(b) Venezuela 
(c) South Africa 
(d) India

Previous Answer: Vatican City""",0.0,Neutral,0,1,0,1,1,0,1,0
414960632887136256,2013-12-23 03:28:19+00:00,southafricaTO,"""Casino chip waterfall at the Sun City Hotel in South Africa http://t.co/4yqiFsjOHU via @pinterest""",0.0,Neutral,0,1,0,0,1,0,1,1
379506375816380416,2013-09-16 07:25:45+00:00,Toinett66771630,"""woke up this mrn feeling so blessed no city noise only birds the waterfall and quite with all its crap I still love South Africa""",0.7659,Positive,0,1,1,0,2,0,0,1
359261900195893248,2013-07-22 10:41:26+00:00,southafricaTO,"""Casino chip waterfall at the Sun City Hotel in South Africa http://t.co/oav9VMCXu2 via @pinterest""",0.0,Neutral,0,1,0,0,1,0,1,1
316148299923070976,2013-03-25 11:23:23+00:00,abuawad200,"""Beautiful pool with a waterfall at the Cascades Hotel Sun City in South Africa http://t.co/mq8Pu7ggtL""",0.5994,Positive,0,1,0,0,1,0,1,1
298871384979939328,2013-02-05 19:11:05+00:00,FlyPodGaming,"""Photo: Waterfall at Sun City #nature #waterfall #southafrica #africa #suncity #amazing #iphonesia... http://t.co/IL9vkbzT""",0.0,Neutral,0,1,0,0,1,0,1,1
285524840297922560,2012-12-30 23:16:41+00:00,buruxadewet,"""The waterfall @ Sun City, South Africa. http://t.co/AXEsjr62""",0.0,Neutral,0,1,0,0,1,0,1,1
149150635231690752,2011-12-20 15:34:17+00:00,worldjobsjobs,"""[Full-time] Nursing Career at Waterfall City Hospital South Africa at Netcare http://t.co/jwoASUxH""",0.0,Neutral,0,1,0,0,0,0,0,0
149149202641985537,2011-12-20 15:28:35+00:00,worldjobsjobs,"""[Full-time] Nursing Career at Waterfall City Hospital South Africa at Netcare http://t.co/wWsTxEpE""",0.0,Neutral,0,1,0,0,0,0,0,0
147644248223784960,2011-12-16 11:48:26+00:00,worldjobsjobs,"""[Full-time] Nursing Career at Netcare Waterfall City Hospital, South Africa at Netcare http://t.co/5qC1bENp""",0.0,Neutral,0,1,0,0,0,0,0,0
147632688675819520,2011-12-16 11:02:30+00:00,worldjobsjobs,"""[Full-time] Nursing Career at Netcare Waterfall City Hospital, South Africa at Netcare http://t.co/lPE440S0""",0.0,Neutral,0,1,0,0,0,0,0,0
96998835989127168,2011-07-29 17:41:39+00:00,RobertReyMD,"""Just got done doing free surgery at Waterfall City Hospital,South Africa!I'm the one with black hatâ˜º http://yfrog.com/gz1lxukj""",0.5562,Positive,0,0,0,0,0,1,0,0
